eventId,eventTitle,startDate,endDate,city,region,country,sponsors,about,eventFormat,isvirtual,url
70584,"2026 2nd International Conference on Unmanned Systems and Technology (UST)",2026-07-03,2026-07-05,"Tianjin","","China","IEEE Systems, Man, and Cybernetics Society; Tianjin University of Technology","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70584
70753,"2026 IEEE 9th International Conference on Big Data and Artificial Intelligence (BDAI)",2026-07-03,2026-07-05,"Chongqing","","China","China Council; Chongqing University of Science and Technology","Computing and Processing",hybrid,Y,/conf/details?id=70753
71030,"2026 9th International Conference on Computer Information Science and Application Technology (CISAT)",2026-07-03,2026-07-05,"Chengdu","","China","Chengdu Section; Sichuan University","Communication, Networking and Broadcast Technologies; Computing and Processing",hybrid,Y,/conf/details?id=71030
70973,"2026 2nd International Conference on IOT, Data Science and Advanced Computing (IDSAC)",2026-07-03,2026-07-05,"Zhuhai","","China","Guangzhou Section; Zhuhai Computer Federation","Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70973
71012,"2026 6th International Conference on Intelligent Communications and Computing (ICICC)",2026-07-03,2026-07-05,"Hangzhou","","China","Beihang University- Zhongfa Aviation Institute; Nanjing Section","Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71012
70564,"2026 3rd International Symposium on New Energy Technologies and Power Systems (NETPS)",2026-07-03,2026-07-05,"Zhuji City, Shaoxing","","China","Hangzhou Dianzi University - HDU; Nanjing Section","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications",hybrid,Y,/conf/details?id=70564
67986,"2026 IEEE 26th International Conference on Nanotechnology (NANO)",2026-07-05,2026-07-08,"Nanjing","","China","IEEE Nanotechnology Council","Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Photonics and Electrooptics; Robotics and Control Systems",inperson,N,/conf/details?id=67986
69471,"2026 IEEE 27th China Conference on System Simulation Technology and its Applications (CCSSTA)",2026-07-10,2026-07-12,"Hohhot","","China","China Council; Chinese Automation Association - CAA","Power, Energy and Industry Applications",inperson,N,/conf/details?id=69471
70285,"2026 3rd World Conference on Computer and Information Security (WCCIS)",2026-07-10,2026-07-12,"Huizhou","","China","Guangzhou Section; Huizhou University","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70285
70381,"2026 8th Asia Conference on Machine Learning and Computing (ACMLC)",2026-07-10,2026-07-12,"Beijing","","China","IEEE Systems, Man, and Cybernetics Society; Renmin University of China","Computing and Processing; Engineering Profession",inperson,N,/conf/details?id=70381
70432,"2026 International Conference on Electronics, Communications and Computer Science (ICECCS)",2026-07-10,2026-07-12,"Chengdu","","China","Chengdu Section; International Computing and Engineering Association; Southwest Jiaotong University","Communication, Networking and Broadcast Technologies; General Topics for Engineers",hybrid,Y,/conf/details?id=70432
70847,"2026 9th International Conference on Signal Processing and Machine Learning (SPML)",2026-07-10,2026-07-12,"Hangzhou","","China","Hangzhou Dianzi University - HDU; Nanjing Section","Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70847
71097,"2026 7th International Conference on Pattern Recognition and Machine Learning (PRML)",2026-07-10,2026-07-13,"Urumqi","","China","IEEE Systems, Man, and Cybernetics Society; Xinjiang University","Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71097
71154,"2026 Cross Strait Radio Science and Wireless Technology Conference (CSRSWTC)",2026-07-10,2026-07-12,"Harbin","","China","Harbin Institute of Technology; Harbin Section","Communication, Networking and Broadcast Technologies; Fields, Waves and Electromagnetics; Photonics and Electrooptics; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71154
70813,"2026 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia)",2026-07-11,2026-07-14,"Kunming","","China","IEEE Industry Applications Society; Kunming University of Science and Technology - KUST","Power, Energy and Industry Applications",inperson,N,/conf/details?id=70813
68950,"2026 IEEE 14th Sensor Array and Multichannel Signal Processing Workshop (SAM)",2026-07-13,2026-07-16,"Shenzhen","","China","IEEE Signal Processing Society","Signal Processing and Analysis",inperson,N,/conf/details?id=68950
70621,"2026 14th International Conference on Agro-Geoinformatics (Agro-Geoinformatics)",2026-07-13,2026-07-16,"Sanya","","China","CSISS Foundation, Inc.; IEEE Geoscience and Remote Sensing Society","Aerospace; Bioengineering; Computing and Processing; Geoscience; Robotics and Control Systems; Signal Processing and Analysis",inperson,N,/conf/details?id=70621
69707,"2026 17th International Conference on Reliability, Maintainability and Safety (ICRMS)",2026-07-14,2026-07-17,"Guangzhou","","China","Chinese Institute of Electronics - CIE; IEEE Reliability Society","Aerospace; Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Geoscience; Nuclear Engineering; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation",hybrid,Y,/conf/details?id=69707
70707,"2026 Sustainable Photonics Conference (SPC)",2026-07-15,2026-07-17,"Hangzhou","","China","Beihang University; IEEE Photonics Society","Photonics and Electrooptics",inperson,N,/conf/details?id=70707
70099,"2026 11th International Conference on Signal and Image Processing (ICSIP)",2026-07-17,2026-07-19,"Changzhou","","China","Hohai University; Nanjing Section; Southeast University","Communication, Networking and Broadcast Technologies; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70099
70535,"2026 8th International Conference on Electronics and Communication, Network and Computer Technology (ECNCT)",2026-07-17,2026-07-19,"Nanjing","","China","Nanjing Section; Nanjing University of Aeronautics & Astronautics - NUAA","Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70535
70586,"2026 11th International Conference on Image, Vision and Computing (ICIVC)",2026-07-17,2026-07-19,"Kunming","","China","IEEE Systems, Man, and Cybernetics Society; Kunming University of Science and Technology - KUST; Sichuan University","Computing and Processing",inperson,N,/conf/details?id=70586
70705,"2026 International Conference on Large Models and Intelligent Agent Technologies (LMIAT)",2026-07-17,2026-07-19,"Hangzhou","","China","Nanjing Section; Zhejiang Shuren University","Computing and Processing; General Topics for Engineers; Robotics and Control Systems",hybrid,Y,/conf/details?id=70705
70879,"2026 5th International Conference on Smart Grid and Energy Systems (SGES)",2026-07-17,2026-07-19,"Qingdao","","China","IEEE Power & Energy Society; Qingdao University","Communication, Networking and Broadcast Technologies; Power, Energy and Industry Applications; Robotics and Control Systems",hybrid,Y,/conf/details?id=70879
70907,"2026 5th International Conference on Power System and Energy Technology (ICPSET)",2026-07-17,2026-07-19,"Chengdu","","China","IEEE Systems, Man, and Cybernetics Society; Southwest Jiaotong University","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications",hybrid,Y,/conf/details?id=70907
71250,"2026 5th International Conference on Artificial Intelligence, Internet of Things and Cloud Computing Technology (AIoTC)",2026-07-17,2026-07-19,"Nanchang","","China","IEEE Systems, Man, and Cybernetics Society; Nanchang University","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing",hybrid,Y,/conf/details?id=71250
71251,"2026 2nd International Conference on Electrical Engineering, Automation and Information Science (EEAIS)",2026-07-17,2026-07-19,"Lanzhou","","China","IEEE Power & Energy Society; Lanzhou Jiaotong University","Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71251
70614,"2026 International Conference on Advanced Electronic Materials and Device Applications (AEMDA)",2026-07-17,2026-07-19,"Chengdu","","China","Chengdu Section; University of Electronic Science and Technology of China","Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas",hybrid,Y,/conf/details?id=70614
71302,"2026 5th International Joint Conference on Information and Communication Engineering (JCICE)",2026-07-17,2026-07-19,"Chengdu","","China","Chengdu Section; Chengdu University of Technology","Communication, Networking and Broadcast Technologies; Signal Processing and Analysis",inperson,N,/conf/details?id=71302
70129,"2026 IEEE 16th International Conference on Signal Processing, Communications and Computing (ICSPCC)",2026-07-17,2026-07-20,"Wuhan","","China","Hong Kong Section; Xian Section","Communication, Networking and Broadcast Technologies; Computing and Processing; Power, Energy and Industry Applications; Signal Processing and Analysis",inperson,N,/conf/details?id=70129
70812,"2026 10th International Conference on Reliability Engineering (ICRE)",2026-07-19,2026-07-21,"Hangzhou","","China","Beihang University; IEEE Reliability Society; Shenzhen Weimin Reliability Systems Engineering Institute","Aerospace; Engineering Profession; General Topics for Engineers; Power, Energy and Industry Applications; Signal Processing and Analysis",inperson,N,/conf/details?id=70812
70692,"2026 24th International Conference on Optical Communications and Networks (ICOCN)",2026-07-20,2026-07-23,"Xining","","China","Guangdong University of Technology; IEEE Photonics Society","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics; Photonics and Electrooptics",inperson,N,/conf/details?id=70692
70110,"2026 2nd International Symposium on E-CARGO and Applications (E-CARGO)",2026-07-20,2026-07-22,"Guangzhou","","China","Guangdong University of Technology; IEEE Systems, Man, and Cybernetics Society","Computing and Processing; Engineering Profession; General Topics for Engineers",inperson,N,/conf/details?id=70110
70377,"2026 5th International Conference on Energy and Electrical Power Systems (ICEEPS)",2026-07-24,2026-07-26,"Lanzhou","","China","IEEE Power & Energy Society; Lanzhou Jiaotong University","Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas; Power, Energy and Industry Applications",hybrid,Y,/conf/details?id=70377
70600,"2026 5th International Symposium on Semiconductor and Electronic Technology (ISSET)",2026-07-24,2026-07-26,"Hefei","","China","Anhui University; Nanjing Section","Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Photonics and Electrooptics; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70600
70982,"2026 5th International Symposium on Aerospace Engineering and Systems (ISAES)",2026-07-24,2026-07-26,"Guiyang","","China","Guizhou Institute of Technology; IEEE Aerospace and Electronic Systems Society; IEEE Systems, Man, and Cybernetics Society","Aerospace; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70982
71099,"2026 6th International Conference on Electrical Engineering and Mechatronics Technology (ICEEMT)",2026-07-24,2026-07-26,"Tianjin","","China","IEEE Industrial Electronics Society; Tianjin University of Science & Technology","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications; Robotics and Control Systems",hybrid,Y,/conf/details?id=71099
70970,"2026 3rd International Conference on Advanced Robotics, Automation Engineering and Machine Learning (ARAEML)",2026-07-24,2026-07-26,"Suzhou","","China","International Computing and Engineering Association; Nanjing Section; Nanjing University - NJU; Xi'an Jiaotong-Liverpool University","General Topics for Engineers; Robotics and Control Systems",hybrid,Y,/conf/details?id=70970
70680,"2026 17th International Conference on Information Optics and Photonics (CIOP)",2026-07-24,2026-07-27,"Nanjing","","China","Chinese Laser Press; IEEE Photonics Society","Communication, Networking and Broadcast Technologies; Photonics and Electrooptics",inperson,N,/conf/details?id=70680
69702,"2026 IEEE 8th International Conference on Artificial Intelligence, Computer Science, and Information Processing (AICSIP)",2026-07-25,2026-07-26,"Hangzhou","","China","China Council; Hangzhou Normal University","Communication, Networking and Broadcast Technologies; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=69702
72479,"2026 22nd International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery (ICNC-FSKD)",2026-07-25,2026-07-27,"Taiyuan","","China","IEEE Systems, Man, and Cybernetics Society; North University of China","Bioengineering; Communication, Networking and Broadcast Technologies; Computing and Processing; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation",inperson,N,/conf/details?id=72479
69510,"2026 IEEE International Conference on Manipulation, Manufacturing and Measurement on the Nanoscale (3M-NANO)",2026-07-27,2026-07-31,"Suzhou","","China","3M-Nano Council; IEEE Nanotechnology Council","Aerospace; Bioengineering; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; General Topics for Engineers; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis",inperson,N,/conf/details?id=69510
69743,"2026 International Symposium on Machine Learning and Media Computing (MLMC)",2026-07-27,2026-07-30,"Nanping, Fujian","","China","City University of Hong Kong - CityU; Fuzhou University, China; IEEE Systems, Man, and Cybernetics Society; Lingnan University; Shenzhen University; Tongji University Shanghai","Computing and Processing; Signal Processing and Analysis",hybrid,Y,/conf/details?id=69743
70981,"2026 8th International Conference on Data-driven Optimization of Complex Systems (DOCS)",2026-07-27,2026-07-29,"Jinan","","China","IEEE Computational Intelligence Society; Shandong Womens University","Aerospace; Computing and Processing; General Topics for Engineers; Power, Energy and Industry Applications; Transportation",inperson,N,/conf/details?id=70981
68776,"2026 45th Chinese Control Conference (CCC)",2026-07-27,2026-07-29,"Changsha","","China","Academy of Mathematics and Systems Science, CAS; Asian Control Association; China Society for Industrial and Applied Mathematics; Chinese Association of Automation; Hunan University; IEEE Control Systems Society; Institute of Control, Robotics and Systems - ICROS; Shanghai Academy of Systems Science; Systems Engineering Society of China; Technical Committee on Control Theory, Chinese Association of Automation; The Society of Instrument and Control Engineers - SICE","Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis; Transportation",inperson,N,/conf/details?id=68776
70875,"2026 8th International Conference on Power and Energy Technology (ICPET)",2026-07-28,2026-07-31,"Chengdu","","China","Beijing Jiaotong University - BJTU; IEEE Power & Energy Society; North China Electric Power University - NCEPU; Sichuan University","Power, Energy and Industry Applications",hybrid,Y,/conf/details?id=70875
70227,"2026 International Conference on Manipulation, Automation and Robotics at Small Scales (MARSS)",2026-07-28,2026-07-31,"Hangzhou","","China","IEEE Nanotechnology Council; IEEE Robotics and Automation Society; Zhejiang University","Bioengineering; Components, Circuits, Devices and Systems; Robotics and Control Systems",inperson,N,/conf/details?id=70227
70453,"2026 25th International Symposium on Communications and Information Technologies (ISCIT)",2026-07-28,2026-07-30,"Qingdao","","China","Beijing University of Posts and Telecommunications; IEEE Circuits and Systems Society; Ocean University of China","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Signal Processing and Analysis",inperson,N,/conf/details?id=70453
69307,"2026 International Conference on Information Automation (ICIA)",2026-07-29,2026-07-31,"Yin Chuan","","China","IEEE Robotics and Automation Society; Southern University of Science and Technology","Bioengineering; Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas; Robotics and Control Systems; Signal Processing and Analysis",inperson,N,/conf/details?id=69307
70846,"2026 2nd International Conference on Laser, Optical Technology and Applications (LOTA)",2026-07-31,2026-08-02,"Shenzhen","","China","Guangzhou Section; Shenzhen Technology University","Fields, Waves and Electromagnetics; Photonics and Electrooptics; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70846
70862,"2026 International Conference on Unmanned System and Intelligent Technology (USIT)",2026-07-31,2026-08-02,"Tianjin","","China","IEEE Systems, Man, and Cybernetics Society; Tianjin University of Science & Technology","Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70862
71371,"2026 7th International Conference on Energy Power and Automation Engineering (ICEPAE)",2026-07-31,2026-08-02,"Tianjin","","China","IEEE Systems, Man, and Cybernetics Society; Tianjin Power Supply Society","Components, Circuits, Devices and Systems; Power, Energy and Industry Applications",hybrid,Y,/conf/details?id=71371
70245,"2026 5th International Symposium on Control Engineering and Robotics (ISCER)",2026-07-31,2026-08-02,"Chengdu","","China","Chengdu Section; Chengdu University of Technology","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70245
69663,"2026 IEEE International Conference on Mechatronics and Automation (ICMA)",2026-08-02,2026-08-05,"Changchun, Jilin","","China","Beijing Institute of Technology; Harbin Engineering University, China; IEEE Robotics and Automation Society; Jilin University; Southern University of Science and Technology","Bioengineering; Components, Circuits, Devices and Systems; Computing and Processing; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation",hybrid,Y,/conf/details?id=69663
70283,"2026 Conference on Lasers and Electro-Optics Pacific Rim (CLEO-PR)",2026-08-02,2026-08-06,"Beijing","","China","Chinese Optical Society; IEEE Photonics Society","Photonics and Electrooptics",inperson,N,/conf/details?id=70283
70872,"2026 IEEE 14th Asia-Pacific Conference on Antennas and Propagation (APCAP)",2026-08-03,2026-08-06,"Chengdu","","China","Chengdu Section; Chengdu Section AP/EMC Chapter; IEEE Antennas and Propagation Society; Sichuan Institute of Electronics; University of Electronic Science Technology of China","Communication, Networking and Broadcast Technologies; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics",inperson,N,/conf/details?id=70872
70780,"2026 9th International Conference on Intelligent Robotics and Control Engineering (IRCE)",2026-08-03,2026-08-06,"Urumqi","","China","IEEE Robotics and Automation Society; Xinjiang University","Robotics and Control Systems",hybrid,Y,/conf/details?id=70780
71496,"2026 12th International Conference on Big Data and Information Analytics (BigDIA)",2026-08-03,2026-08-05,"Xinjiang","","China","IEEE Systems, Man, and Cybernetics Society; University of Science and Technology of China (USTC)","Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71496
71373,"2026 27th International Conference on Electronic Packaging Technology (ICEPT)",2026-08-05,2026-08-07,"Xi'an","","China","IEEE Electronics Packaging Society; Inst. of Microelectronics of the Chinese Academy of Sciences - IMECAS","Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics; Photonics and Electrooptics; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71373
71614,"2026 IEEE International Conference on Cybernetics and Intelligent Systems (CIS) and IEEE International Conference on Robotics, Automation and Mechatronics (RAM)",2026-08-05,2026-08-07,"Changchun","","China","Guangzhou Section RA Chapter; Singapore Section; Singapore Section RA Chapter; Singapore Section SMC Chapter","Robotics and Control Systems",inperson,N,/conf/details?id=71614
70906,"2026 International Conference on Computer Science, Machine Learning and Agents (CSMLA)",2026-08-07,2026-08-09,"Qujing","","China","IEEE Systems, Man, and Cybernetics Society; Qujing Normal University","Components, Circuits, Devices and Systems; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70906
70899,"2026 2nd International Conference on Navigation, Detection and Control (CNDC)",2026-08-07,2026-08-09,"Guangzhou","","China","Guangdong University of Technology; Guangzhou Section","Communication, Networking and Broadcast Technologies; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=70899
71145,"2026 6th International Conference on Advanced Algorithms and Neural Networks (AANN)",2026-08-07,2026-08-09,"Qingdao","","China"," China University of Petroleum (East China); IEEE Computational Intelligence Society","Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis",hybrid,Y,/conf/details?id=71145
